YEAR,STATE,RATE,DEATHS
2020,AL,17.2,1082
2020,AK,10.8,66
2020,AZ,7.9,773
2020,AR,18.7,732
2020,CA,9.6,4406
2020,CO,7.7,480
2020,CT,10.9,555
2020,DE,12.4,175
2020,FL,9.4,3173
2020,GA,18.5,2134
2020,HI,10.1,213
2020,ID,8.2,175
2020,IL,16.7,2651
2020,IN,17.4,1445
2020,IA,10,435
2020,KS,14.3,529
2020,KY,16.2,908
2020,LA,19.2,1075
2020,ME,11.3,235
2020,MD,9.9,740
2020,MA,13.2,1214
2020,MI,14.7,1948
2020,MN,7.3,529
2020,MS,22.2,798
2020,MO,20.8,1682
2020,MT,10.6,157
2020,NE,10.1,243
2020,NV,8.9,326
2020,NH,9.4,176
2020,NJ,14.3,1674
2020,NM,12.3,336
2020,NY,10.1,2651
2020,NC,15.9,2072
2020,ND,11.9,116
2020,OH,14.1,2186
2020,OK,11.3,540
2020,OR,6.9,374
2020,PA,15.6,2916
2020,RI,9.1,137
2020,SC,15,1013
2020,SD,5.6,65
2020,TN,12.4,1057
2020,TX,15.1,4400
2020,UT,13.4,363
2020,VT,2.7,25
2020,VA,15.9,1648
2020,WA,4.4,393
2020,WV,21.2,555
2020,WI,11,863
2020,WY,8.3,58
2019,AL,16.4,1007
2019,AK,10.7,62
2019,AZ,8.1,760
2019,AR,16.7,635
2019,CA,8.8,4006
2019,CO,8.3,504
2019,CT,12.6,643
2019,DE,15.7,210
2019,FL,9.8,3244
2019,GA,18.1,2023
2019,HI,10.8,220
2019,ID,9.4,190
2019,IL,16.2,2553
2019,IN,17.1,1388
2019,IA,10.1,430
2019,KS,15.2,561
2019,KY,18.2,997
2019,LA,19.4,1055
2019,ME,11.6,240
2019,MD,10,736
2019,MA,14,1281
2019,MI,14.2,1853
2019,MN,7.4,526
2019,MS,21.8,771
2019,MO,18.4,1483
2019,MT,9.6,139
2019,NE,11.3,273
2019,NV,8.7,303
2019,NH,11.2,211
2019,NJ,13.9,1622
2019,NM,12.9,340
2019,NY,9.9,2565
2019,NC,16.7,2121
2019,ND,10.9,107
2019,OH,14.1,2164
2019,OK,11.2,527
2019,OR,8,437
2019,PA,16,2975
2019,RI,11.5,174
2019,SC,15.6,1010
2019,SD,6.2,72
2019,TN,12.8,1056
2019,TX,14.7,4165
2019,UT,13.5,355
2019,VT,3.6,32
2019,VA,16.4,1662
2019,WA,4.5,390
2019,WV,16.2,421
2019,WI,12.6,957
2019,WY,8.3,61
2018,AL,17.3,1037
2018,AK,8.1,46
2018,AZ,7.5,681
2018,AR,18.4,689
2018,CA,8.8,3917
2018,CO,8,469
2018,CT,12.2,612
2018,DE,16.3,209
2018,FL,9.7,3133
2018,GA,18.5,2006
2018,HI,8.8,183
2018,ID,7.5,150
2018,IL,17,2644
2018,IN,17.6,1412
2018,IA,9.1,388
2018,KS,15.4,553
2018,KY,18.7,1007
2018,LA,21,1127
2018,ME,12.5,258
2018,MD,11.9,844
2018,MA,13.1,1175
2018,MI,15,1945
2018,MN,8.5,598
2018,MS,22.2,786
2018,MO,19.1,1503
2018,MT,10.3,151
2018,NE,9.6,230
2018,NV,8.9,292
2018,NH,10,191
2018,NJ,14.6,1672
2018,NM,12.3,330
2018,NY,9.4,2411
2018,NC,15.6,1936
2018,ND,12.1,117
2018,OH,14.5,2202
2018,OK,9.7,453
2018,OR,7.4,395
2018,PA,15.8,2921
2018,RI,9.5,143
2018,SC,15.6,985
2018,SD,6.3,71
2018,TN,14.3,1143
2018,TX,16.4,4529
2018,UT,13.1,335
2018,VT,2.2,20
2018,VA,15.9,1566
2018,WA,4.8,409
2018,WV,19.3,493
2018,WI,12.2,914
2018,WY,8.2,56
2017,AL,16.5,980
2017,AK,9.9,54
2017,AZ,6.2,540
2017,AR,19.7,725
2017,CA,8.9,"3,887"
2017,CO,8.9,503
2017,CT,11.2,554
2017,DE,16.1,205
2017,FL,10.1,"3,172"
2017,GA,18.6,"1,942"
2017,HI,10.7,208
