UTC,Proto,Src_IP,Src_Pt,Dst_IP,Dest_Pt,Bytes,class
1585741193,TCP  ,10.100.10.123,8000,192.168.1.10,49835,556,0
1585742093,TCP  ,10.100.10.123,49835,192.168.1.10,8000,515,0
1585742993,TCP  ,192.168.1.10,8000,10.100.10.123,49834,561,0
1585743893,TCP  ,10.100.10.123,49834,192.168.1.10,8000,589,0
1585744793,TCP  ,192.168.1.10,8000,10.100.10.123,49836,702,0
1585745693,TCP  ,10.100.10.123,49836,192.168.1.10,8000,586,0
1585746593,TCP  ,192.168.1.10,8000,10.100.10.123,49837,1726,0
1585747493,TCP  ,10.100.10.123,49837,192.168.1.10,8000,579,0
1585748393,TCP  ,192.168.1.10,8000,10.100.10.123,49838,639,0
1585749293,TCP  ,10.100.10.123,49838,192.168.1.10,8000,614,0
1585750193,TCP  ,192.168.1.10,8000,10.100.10.123,62900,561,0
1585751093,TCP  ,10.100.10.123,62900,192.168.1.10,8000,589,0
1585751993,TCP  ,192.168.1.10,22,10.100.10.123,4589,3093,0
1585752893,SSH,10.100.10.123,4589,192.168.1.10,22,2843,1
1585753793,TELNET,10.101.10.124,18816,192.168.1.10,23,46,1
1585754693,TELNET,192.168.1.11,23,10.101.10.124,18816,40,1
1585755593,SSH,192.168.1.10,22,10.101.10.124,3477,2985,1
1585756493,SSH,10.100.10.123,3477,192.168.1.10,22,2843,1
1585757393,TELNET,192.168.1.10,23,10.101.10.124,42182,40,1
1585758293,TELNET,192.168.1.11,42182,192.168.1.10,23,46,1
1585759193,SSH,192.168.1.11,57382,192.168.1.10,22,420,1
1585760093,TCP  ,192.168.1.11,24989,192.168.1.10,7547,46,1
1585760993,TCP  ,192.168.1.10,22,10.101.10.124,57382,4773,1
1585761893,TCP  ,192.168.1.11,7547,10.101.10.124,24989,40,1
1585762793,TCP  ,10.101.10.125,62901,192.168.1.12,8000,515,0
1585763693,TCP  ,192.168.1.11,22,10.101.10.124,3398,3065,1
1585764593,TCP  ,192.168.1.11,22,10.101.10.124,2645,3065,1
1585765493,TCP  ,192.168.1.12,8000,10.101.10.125,62902,702,0
1585766393,TCP  ,10.101.10.125,62903,192.168.1.12,8000,579,0
1585767293,SSH,10.100.10.123,3398,192.168.1.10,22,2871,1
1585768193,TCP  ,10.101.10.125,62902,192.168.1.12,8000,586,0
1585769093,TCP  ,192.168.1.12,8000,10.101.10.125,62904,639,0
1585769993,TCP  ,10.101.10.125,49887,192.168.1.12,8000,515,0
1585770893,TCP  ,192.168.1.12,8000,10.101.10.125,62901,556,0
1585771793,TCP  ,10.101.10.125,62904,192.168.1.12,8000,614,0
1585772693,TCP  ,192.168.1.12,8000,10.101.10.125,62903,1726,0
1585773593,TCP  ,192.168.1.12,8000,10.101.10.125,49887,556,0
1585774493,TCP  ,192.168.1.12,8000,10.101.10.125,49888,702,0
1585775393,TCP  ,10.101.10.125,49888,192.168.1.12,8000,586,0
1585776293,SSH,10.100.10.123,2812,192.168.1.10,22,2917,1
1585777193,TCP  ,10.100.10.123,22,192.168.1.12,48143,3249,1
1585778093,TCP  ,192.168.1.13,8000,10.100.10.126,62902,702,0
1585778993,TCP  ,192.168.1.13,8000,10.100.10.126,62904,639,0
1585779893,TCP  ,192.168.1.13,8000,10.100.10.126,49888,702,0
1585780793,TCP  ,192.168.1.13,8000,10.100.10.126,62954,702,0
1585781693,TCP  ,192.168.1.15,1811,192.168.1.13,23,46,1
1585782593,SSH,10.100.10.123,1702,192.168.1.10,22,2843,1
1585783493,TCP  ,10.100.10.123,8000,10.100.10.126,62901,556,0
1585784393,SSH,192.168.1.14,47271,10.100.10.126,22,2105,1
1585785293,TCP  ,192.168.1.13,8000,10.100.10.126,62903,1726,0
1585786193,TCP  ,192.168.1.13,8000,10.100.10.126,49887,556,0
1585787093,TCP  ,192.168.1.13,8000,10.100.10.126,62953,556,0
1585787993,TCP  ,192.168.1.12,8000,10.101.10.125,62953,556,0
1585788893,SSH,10.100.10.126,2337,192.168.1.10,22,2871,1
1585789793,TCP  ,192.168.1.13,8000,10.100.10.126,49889,561,0
1585790693,TCP  ,192.168.1.15,22,10.100.10.126,45310,3145,1
1585791593,SSH,10.100.10.123,3792,192.168.1.10,22,2935,1
1585792493,SSH,192.168.1.14,4429,192.168.1.10,22,3679,1
1585793393,TCP  ,192.168.1.14,22,192.168.1.14,38273,3185,1
1585794293,TCP  ,192.168.1.14,22,10.100.10.126,36559,3185,1
1585795193,TCP  ,192.168.1.14,22,10.100.10.126,15987,4445,1
1585796093,SSH,192.168.1.14,54464,10.100.10.126,22,1678,1
1585796993,TCP  ,192.168.1.14,22,10.100.10.126,19456,3185,1
1585797893,UDP  ,192.168.1.14,47847,10.100.10.126,123,76,1
1585798793,TCP  ,192.168.1.14,22,10.100.10.126,42662,3185,1
1585799693,TCP  ,192.168.1.14,22,10.100.10.126,54419,3185,1
1585800593,TCP  ,192.168.1.14,22,10.100.10.126,36759,3197,1
1585801493,TCP  ,10.100.10.126,22,192.168.1.15,56766,3185,1
1585802393,TCP  ,192.168.1.14,7547,10.100.10.126,12419,40,1
1585803293,TCP  ,192.168.1.14,22,10.100.10.126,50067,3185,1
1585804193,SSH,10.100.10.126,55655,192.168.1.14,22,1724,1
1585805093,TCP  ,10.101.10.125,62953,192.168.1.12,8000,515,0
1585805993,TCP  ,192.168.1.14,445,10.100.10.126,51434,80,1
1585806893,SSH,10.100.10.126,57200,192.168.1.14,22,1678,1
1585807793,TCP  ,192.168.200.1,49922,192.168.200.1,8000,579,0
1585808693,TCP  ,10.100.1.123,49940,192.168.200.1,8000,586,0
1585809593,SSH,10.100.10.126,55502,192.168.1.14,22,1678,1
1585810493,SSH,10.100.10.126,55556,192.168.1.14,22,1678,1
1585811393,TCP  ,192.168.1.14,22,10.100.10.126,22530,2302,1
1585812293,SSH,10.100.10.123,3246,192.168.1.10,22,2825,1
1585813193,TCP  ,192.168.1.14,22,10.100.10.126,49845,3185,1
1585814093,SSH,10.100.10.123,1646,192.168.1.10,22,2825,1
1585814993,TCP  ,192.168.1.14,22,10.100.10.126,32970,3185,1
1585815893,TCP  ,192.168.1.14,22,10.100.10.126,41218,3185,1
1585816793,SSH,10.100.10.126,47695,192.168.1.14,22,2163,1
1585817693,TCP  ,10.100.1.123,49939,192.168.200.1,8000,515,0
1585818593,TCP  ,192.168.1.12,8000,10.101.10.125,62954,702,0
1585819493,TCP  ,192.168.1.12,22,192.168.1.12,2812,3093,1
1585820393,SSH,10.100.10.123,48143,192.168.1.12,22,2261,1
1585821293,TCP  ,10.100.10.126,62901,192.168.1.13,8000,515,0
1585822193,TCP  ,10.100.10.126,62903,192.168.1.13,8000,579,0
1585823093,TCP  ,10.100.10.126,49887,192.168.1.13,8000,515,0
1585823993,TCP  ,10.100.10.126,62953,192.168.1.13,8000,515,0
1585824893,TCP  ,192.168.1.15,49889,192.168.1.13,8000,589,0
1585825793,TCP  ,192.168.1.14,22,10.100.10.126,47271,3249,1
1585826693,TCP  ,10.101.10.125,62954,192.168.1.12,8000,586,0
1585827593,TCP  ,10.100.10.126,22,192.168.1.14,2337,2985,1
1585828493,SSH,10.100.10.126,45310,192.168.1.14,22,2215,1
1585829393,TCP  ,192.168.1.15,22,10.100.10.126,4429,3077,1
1585830293,SSH,192.168.1.14,36559,192.168.1.14,22,2215,1
1585831193,TCP  ,192.168.1.14,22,10.100.10.126,54464,2625,1
1585832093,SSH,10.100.10.126,19456,192.168.1.14,22,2163,1
1585832993,SSH,10.100.10.126,42662,192.168.1.14,22,2179,1
1585833893,SSH,10.100.10.126,54419,192.168.1.14,22,2319,1
1585834793,SSH,10.100.10.126,36759,192.168.1.14,22,2319,1
1585835693,TCP  ,10.100.10.126,12419,192.168.1.14,7547,46,1
1585836593,TCP  ,192.168.1.12,8000,10.101.10.125,49889,561,0
1585837493,SSH,10.100.10.126,50067,192.168.1.14,22,2215,1
1585838393,TCP  ,192.168.1.14,22,10.100.10.126,55655,2665,1
1585839293,TCP  ,192.168.1.14,22,10.100.10.126,57200,2625,1
1585840193,TCP  ,10.100.10.123,22,192.168.1.12,1702,2985,1
1585841093,TCP  ,192.168.200.1,8000,192.168.200.1,49922,1726,0
1585841993,TCP  ,192.168.200.1,8000,10.100.1.123,49940,702,0
1585842893,SSH,10.100.10.123,25777,192.168.1.12,22,2163,1
1585843793,TCP  ,10.100.10.126,62902,192.168.1.13,8000,586,0
1585844693,TCP  ,10.100.10.126,62904,192.168.1.13,8000,614,0
1585845593,TCP  ,10.100.10.126,49888,192.168.1.13,8000,586,0
1585846493,TCP  ,10.100.10.126,62954,192.168.1.13,8000,586,0
1585847393,TCP  ,192.168.1.14,22,10.100.10.126,3792,3201,1
1585848293,SSH,192.168.1.14,38273,10.100.10.126,22,2163,1
1585849193,TCP  ,192.168.1.12,49889,192.168.1.12,8000,589,0
1585850093,SSH,10.100.10.126,15987,192.168.1.14,22,717,1
1585850993,UDP  ,10.100.10.126,123,192.168.1.14,47847,76,1
1585851893,SSH,10.100.10.126,56766,192.168.1.15,22,2267,1
1585852793,TCP  ,10.100.10.123,51434,10.100.10.126,445,104,1
1585853693,TCP  ,10.100.10.126,22,192.168.1.14,55502,2625,1
1585854593,TCP  ,192.168.1.14,22,10.100.10.126,55556,2625,1
1585855493,SSH,10.100.10.126,22530,192.168.1.14,22,255,1
1585856393,TCP  ,192.168.1.14,22,10.100.10.126,3246,2985,1
1585857293,SSH,10.100.10.126,49845,192.168.1.14,22,2439,1
1585858193,TCP  ,192.168.1.14,22,10.100.10.126,1646,3309,1
1585859093,SSH,10.100.10.126,32970,192.168.1.14,22,2283,1
1585859993,SSH,10.100.10.126,41218,192.168.1.14,22,2163,1
1585860893,TCP  ,192.168.1.14,22,10.100.10.126,47695,3185,1
1585861793,TCP  ,192.168.200.1,8000,10.100.1.123,49939,556,0
1585862693,TCP  ,10.100.1.123,62987,10.200.1.15,8000,589,0
